Huddleston_PD-MRI- Positive ionization with c18 separation-AVERAGED FEATURE TABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Feature table description of variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1:,"An m/z feature is defined by m/z, retention time, and ion/peak intensity (integrated ion intensity for the peak)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2:,"All samples were run in technical triplicates (eg: RPk13_D5I3_2, RPk13_D5I3_4, RPk13_D5I3_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description of columns:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mz,Measured mass-to-charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,Retention time at which the ion elutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mz.min,Minimum measured mass-to-charge across all samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mz.max,Maximum measured mass-to-charge across all samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumPres.All.Samples,Number of all samples (including replicates) with non-missing/non-zero values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NumPres.Biol.Samples,Number of biological samples for which there is a non-missing/non-zero value in at least 2 out of 3 replicates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median_CV,median coefficient of variation (%) within technical replicates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qscore,"Quality score, defined as the ratio of the percentage of biological samples for which > 50% of technical replicates have a signal to the % median CV; A higher Qscore means the feature is more quantitatively reproducible within technical replicates is detected ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max.Intensity,Maximum intensity of the mz across all samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_SampleRunDate_ReplicateID.cdf,Ion intensity in each sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B) Triplicate averaged feature table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations:,Stage5/averaged_p1Up2_voidfiltered.featuretable.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mz,time,mz.min,mz.max,NumPres.All.Samples,NumPres.Biological.Samples,median_CV,Qscore,Max.Intensity,DW_140904_001.cdf,DW_140904_007.cdf,DW_140904_013.cdf,DW_140904_019.cdf,DW_140904_025.cdf,DW_140904_031.cdf,DW_140904_037.cdf,DW_140904_043.cdf,DW_140904_049.cdf,DW_140904_055.cdf,DW_140904_061.cdf,DW_140904_067.cdf,DW_140904_073.cdf,DW_140904_079.cdf,DW_140904_085.cdf,DW_140904_091.cdf,DW_140904_097.cdf,DW_140904_103.cdf,DW_140904_109.cdf,DW_140904_115.cdf,DW_140904_121.cdf,DW_140904_127.cdf,DW_140904_133.cdf,DW_140904_139.cdf,DW_140904_145.cdf,DW_140904_151.cdf,DW_140904_157.cdf,DW_140904_163.cdf,DW_140904_169.cdf,DW_140904_175.cdf,DW_140904_181.cdf,DW_140904_187.cdf,DW_140904_193.cdf,DW_140904_199.cdf,DW_140904_205.cdf,DW_140904_211.cdf,DW_140904_217.cdf
100.0116778,310.8431726,100.0114293,100.0119435,27,6,31.22,0.41438194,5090095.705,2285100,0,0,2812090,2369358,0,0,0,0,2452890,1672015.5,0,0,0,4086663,1742934,0,2727902,5090096,2065757.5,1257230,0,4429377.333,2091156,0,0,2713937,0,1847484,2625941,1184966,0,0,1998705,0,0,474635
100.014377,261.5876219,100.0140681,100.014564,22,3,45.06,0.182719251,5684617.243,3203692,2843437,5054028,0,0,4682678.667,684724,3973139,0,0,1599503,0,0,0,3451218,0,3033891,0,0,1374849,0,0,0,3292645,0,3380170,5065656,0,4477461,4596069,0,3624697,2787186,0,0,0,3065610.5
100.0246098,124.6491591,100.0244124,100.0247233,108,37,15.51,2.123385767,21856560.4,2588825,3685740.333,6188651.667,4191283,6149584,3576828,5314282.333,3499921.333,13979564.67,4239456,3681990.333,3549452.333,2455262.667,4391293.667,3037547,4331599.333,3385293.667,4077468.667,3286419.667,2925525,1634568.333,3515200,2002975,14690218,11127229.67,15348451,18425605,7352247.5,15680427.33,6031220.333,5742660,5702976.333,4388582.333,4343673.333,3918264.333,6329556.333,4298851.667
100.0291987,128.4927937,100.0289818,100.0294591,89,32,9.797,2.300030818,156128247.2,5288657.5,12725297.67,11567994.67,7514249.5,8873176.667,7063714,6956703.667,7478380,19457745.67,6108733,7018179.333,5399143,5300481.5,5981043.5,5457994,5284690,5011310,0,4616893,4410363,4656001,3702702.667,4217825.5,15895981.67,12202380.33,52849834.5,65278150.33,30304078.33,21794577.67,8269820.333,7733736,8642472,6157459,6231655.667,5248224.333,6110147,5737613
100.0292193,535.616081,100.0290199,100.0292835,51,18,9.714,4.117045191,6881543.272,2998110,0,2855419,3990578,0,2523381,5260025.667,5489170,6570008.5,4825453,6043807.5,5117353,0,5296827.5,0,3335217.5,5017772,5565510.333,6063945,6018540,2215391,4964971.333,5234068,5099560.333,5311786,0,0,0,0,5317322,4497876.5,6091011,0,2909074,4933982,5118767,4448915
100.0292442,429.2151357,100.0291957,100.0293183,75,25,24.95,3.242571429,21554222.55,0,11787057,13235424,17291509.33,18415566,12415264.33,15346438.33,9278720.333,9623387.5,7397461.333,7653208.667,7047309.5,10551482.5,8306261,6491584,15889558,13869733,0,8468701,10802917.5,9234045,11120400,9312564,7838857,6235480,0,13514000.5,11158534,12615705.5,9366407.667,6699606,7764717,6486684.667,5663220,6156965,8736976,9165141
100.0292492,195.3875689,100.0289744,100.0294883,25,6,38.97,0.358874454,113877678,0,0,0,1969366,2337880,1781192,2133706.5,0,0,2981041,1511884,0,4098248,0,0,2649434.5,2319734,0,0,0,0,2379603,0,1558039,0,71537975.5,0,111074649,3046559,3646321,0,3047783,0,3309882.5,1162147,2015057,0
100.0292591,326.2183328,100.029196,100.0293089,23,1,41.48,0.276044049,9149919.063,3328720,0,0,5287931,0,2756385,2206292,0,0,1562772,0,3216089.5,1057282,2366442,4273844,4362628,2351565,0,7353933,4102886,6988525,0,0,0,0,0,4236523,9149919,4271356,0,5476717,0,2761806,2841277,3057120,1079992,0
100.029287,477.6082263,100.0291866,100.0294642,18,2,23.42,0.510783639,26376704.52,7911705,23815680,23024134,0,0,0,0,21784013,0,0,0,0,3334597,5399910,14710562,0,0,0,0,0,0,0,3203409,0,0,17716128,26376705,19429986,0,3797554,0,0,5041553.5,0,2757239,5607669,5190093
100.0397969,39.86303667,100.0395554,100.0399856,111,37,12.54,1.848540066,22892290.71,13050556.33,13105225,14979504.33,6485092.667,5357494,4909258,7359697,5414797,4787738.667,4270535.667,4353953.667,3963670,4002399,3848605,3482797,2970779,3392929.667,3258568.333,4415914.333,3560433.333,5619460.333,3865853.333,3624983,3596983.667,3478136.333,3232841,3230382.333,3052531,3976308,3297180,3933235.333,3628603.333,4341095.667,3987262.333,3898063.333,3588720,3017747
100.0636795,40.94833676,100.0634008,100.0637388,111,37,11.01,2.678645542,110575276.1,99182210.67,65511145.67,51136363.67,44898256,38166570,35305809,38360569,38216715.67,34502136,29006960.67,29822758.67,27960565,27261356,20614426.33,22197417,19195989,23334270.33,23158645.67,25369957,22560935,22168622.67,24977252.33,23035161.33,20578436,21903486,20081210.33,20103319,19606802.67,23889435.33,18551033.33,26780107,25610274.67,27326058.33,24754616.67,24988321.67,22078723,20474034.67
100.076195,74.78813244,100.0761119,100.0762513,88,30,3.363,21.60987313,361541360,50817024,20088340.67,140773913,33387621.33,0,9314870,43242537,24965837,10912263.67,7483297.5,12276529.33,10356251,43069717.67,11882473.67,359318361.3,16835150.5,11356492,8161645,12535154.67,23941627,24533221.33,52130710,129139907,6462011,8379602,0,0,40179305.67,0,39160231.33,12465945,0,10114625.67,65032495.67,26165475.33,7131674.333,31363635.33
100.0762012,164.7589855,100.0759615,100.0762905,86,32,4.968,6.798630743,342871135.3,91878327.67,63894496.5,152818334.3,80319420,40056456.67,47241253.67,81498696.67,81715770,45040218.33,57131833.5,57776839,67156783.33,91552495.5,67393452,342871135,71824871.5,79300515.5,51618084,67688050,77069320,78529532,109641330.3,173043386,36711663.67,46457339,32395071,46728854.5,72903873.5,47779587,89903905.5,62983041.33,40844922,65744736.5,114554181,75227811,62473695.5,0
